uuid,longitude,latitude,start_date,end_date,type,subtype,comments,nthumbsup,reliability,reportrating,confidence,duration,xcenter,ycenter,start_time,end_time,event
781ec3ce-a22b-3970-9e12-c9309aa44c0a,-43.392740000000074,-22.888505999999946,2019-02-23 19:55:00,2019-02-23 23:26:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco do Balde Sulacap,0.0,6.0,0,0.0,0 days 03:31:00,664864.6147965803,7467922.963434304,1550951700000.0,1550964360000.0,35
78550ef9-8482-3218-a329-e1a9f528c07e,-43.19678000000018,-22.98597900000004,2019-02-23 11:55:00,2019-02-23 16:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco dos Mendigos,0.0,6.0,0,0.0,0 days 05:01:00,684837.1742407543,7456896.270737398,1550922900000.0,1550940960000.0,25
787799f7-5a1a-39f5-b998-8ec1b3215a30,-43.219411,-22.916461,2019-02-23 20:08:00,2019-02-23 20:08:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Urubuzada,0.0,6.0,0,0.0,0 days 00:00:00,682610.2017817318,7464622.797298578,1550952480000.0,1550952480000.0,29
787ffa18-96e4-377c-93f4-4227f039c06b,-43.216866000000174,-22.96361700000011,2019-02-24 11:15:00,2019-02-24 15:59:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Suvaco do Cristo,0.0,6.0,0,0.0,0 days 04:44:00,682807.9028730344,7459397.746307758,1551006900000.0,1551023940000.0,34
78e40734-afb9-34ed-8701-980210955554,-43.22486600000001,-22.98747400000001,2019-02-23 10:55:00,2019-02-23 11:12:00,ROAD_CLOSED,ROAD_CLOSED_EVENT, Imaginô? AgoraAmassa!.(201659),0.0,6.0,0,0.0,0 days 00:17:00,681955.5948164449,7456765.845457328,1550919300000.0,1550920320000.0,52
790ef367-c57f-3d96-94d2-b3416b062af9,-43.224865999999935,-22.9874739999999,2019-02-24 16:55:00,2019-02-24 20:57:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,BLOCO DA CHALEIRA DO VIDIGAL.(199825),0.0,6.0,0,0.0,0 days 04:02:00,681955.5948164525,7456765.84545734,1551027300000.0,1551041820000.0,33
7912b537-e92c-3d4b-ba8e-ea181aea1304,-43.21781899999996,-22.964611999999967,2019-02-24 11:15:00,2019-02-24 16:00:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Suvaco do Cristo,0.0,6.0,0,0.0,0 days 04:45:00,682708.8411096551,7459288.749902842,1551006900000.0,1551024000000.0,34
7953e403-615f-3e11-9942-5b487cf6fdfb,-43.219283000000246,-22.916725000000035,2019-02-23 13:55:00,2019-02-23 19:56:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Bloco Urubuzada,0.0,6.0,0,0.0,0 days 06:01:00,682622.9780136347,7464593.404031223,1550930100000.0,1550951760000.0,29
797061dc-c04a-3011-a6b1-704a715fd4a7,-43.220381999999866,-22.921530999999966,2019-02-23 18:55:00,2019-02-24 00:58:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Banda Haddock,0.0,6.269230769230768,0,0.0,0 days 06:03:00,682503.8042117055,7464062.570924223,1550948100000.0,1550969880000.0,29
79a01606-cf5f-3a49-9b6b-d8a1346db8fe,-43.20509499999998,-22.986402,2019-02-24 20:58:00,2019-02-24 22:57:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,Simpatia é Quase Amor,0.0,6.0,0,0.0,0 days 01:59:00,683984.0850629713,7456859.8855516175,1551041880000.0,1551049020000.0,33
79a66089-fb6a-3cb9-b5cf-d8abde5ea339,-43.30289900000015,-22.8373680000002,2019-02-24 16:55:00,2019-02-24 22:57:00,ROAD_CLOSED,ROAD_CLOSED_EVENT,G.R.B.C. Deixa Que Eu Te Atravesso,0.0,6.0,0,0.0,0 days 06:02:00,674147.0794655798,7473482.168439813,1551027300000.0,1551049020000.0,40
