uuid,longitude,latitude,type,subtype,comments,start_date,end_date,alerts,duration,type_subtype,xcenter,ycenter,start_time,end_time,event
9156859e-ebdf-37c7-95b0-bd3a260ff16a,-43.184674,-22.972124,road_closed,road_closed_event,reveillon,2019-01-01 15:36:00,2019-01-01 16:36:00,61,-1 days +23:00:00.000000000,road_closed_road_closed_event,686097.3607147221,7458415.239350724,1546356960000.0,1546360560000.0,8
918ffad6-a2b8-37d9-9267-c136e2f2729e,-43.19654600000001,-22.954689,road_closed,road_closed_event,bloco sa pereira infantil,2019-02-23 16:05:00,2019-02-23 16:05:00,1,0 days 00:00:00.000000000,road_closed_road_closed_event,684903.7428936993,7460360.958492218,1550937900000.0,1550937900000.0,91
91a1baf0-a3ba-33a1-a82b-d1150b94b6af,-43.175286,-22.913426,weatherhazard,no_subtype,alteracao sentido fluxo rua mestre valentim entra a av luis vasconcelos e a rua teixeira freitas,2019-02-18 21:08:00,2019-02-19 13:38:00,991,-1 days +07:30:00.000000000,weatherhazard_no_subtype,687140.7176652793,7464903.415928392,1550524080000.0,1550583480000.0,60
91a8a6de-ac65-3237-b02a-329d58211c12,-43.199282,-22.908948,road_closed,road_closed_event,desfile campeas,2019-03-09 13:48:00,2019-03-10 14:56:00,1509,-2 days +22:52:00.000000000,road_closed_road_closed_event,684685.2103852626,7465429.627183606,1552139280000.0,1552229760000.0,10
91c6911d-fd0e-3fa3-bfdf-6429bf960c68,-43.183258,-22.907486,road_closed,road_closed_event,bloco enxota vou,2019-03-05 17:55:00,2019-03-05 23:58:00,364,-1 days +17:57:00.000000000,road_closed_road_closed_event,686331.0473916256,7465571.318247638,1551808500000.0,1551830280000.0,39
91ce9d6f-0120-3874-9551-6170068117cc,-43.197072,-22.914316,road_closed,road_closed_event,desfile campeas,2019-03-09 22:22:00,2019-03-10 14:56:00,995,-1 days +07:26:00.000000000,road_closed_road_closed_event,684904.6402906337,7464832.414998062,1552170120000.0,1552229760000.0,10
91cfda1a-cc47-3575-92c9-18f616ac78f9,-43.202386,-22.912987,road_closed,road_closed_event,carnaval rio,2019-03-02 12:18:00,2019-03-02 12:21:00,4,-1 days +23:57:00.000000000,road_closed_road_closed_event,684361.3198837679,7464986.255208371,1551529080000.0,1551529260000.0,22
91f745e4-dad5-35ec-a48a-b45036b45b58,-43.197302,-22.903795,road_closed,road_closed_event,associacao recreativa e cultural bloco carnavalesco unidos rego barros,2019-02-10 18:55:00,2019-02-10 20:47:00,113,-1 days +22:08:00.000000000,road_closed_road_closed_event,684895.3204912173,7465997.767078007,1549824900000.0,1549831620000.0,101
91fc184f-6715-353b-9077-92a8eb5ae66f,-43.257864,-22.837111,road_closed,road_closed_event,trecho fechado obras,2019-01-07 15:00:00,2019-01-21 13:27:00,18491,-14 days +01:33:00.000000000,road_closed_road_closed_event,678769.6461396774,7473456.768239711,1546873200000.0,1548077220000.0,118
91fd3c0b-0619-3b72-9143-9468bce64294,-43.20463400000001,-22.910532,road_closed,road_closed_event,carnaval rio,2019-03-01 22:58:00,2019-03-02 11:56:00,779,-1 days +11:02:00.000000000,road_closed_road_closed_event,684134.0320252642,7465260.929645214,1551481080000.0,1551527760000.0,22
92030306-bfed-3a96-b211-0e7ea145d711,-43.189877,-22.983,road_closed,road_closed_event,reveillon,2018-12-31 16:56:00,2019-01-01 11:57:00,1142,-1 days +04:59:00.000000000,road_closed_road_closed_event,685548.994461513,7457217.441878778,1546275360000.0,1546343820000.0,8
920c1b8f-d556-37da-9ab4-c4d292b660cc,-43.187838,-22.976307,road_closed,road_closed_event,reveillon,2019-01-01 18:37:00,2019-01-01 19:37:00,61,-1 days +23:00:00.000000000,road_closed_road_closed_event,685767.2084554087,7457956.031406786,1546367820000.0,1546371420000.0,8
922115ec-e9d4-3ac0-9fb7-b3b78b02fef7,-43.182435,-22.96996,road_closed,road_closed_event,bloco broxadao,2019-03-10 16:57:00,2019-03-10 20:56:00,240,-1 days +20:01:00.000000000,road_closed_road_closed_event,686329.9124881993,7458652.03542624,1552237020000.0,1552251360000.0,107
922b8a79-0f73-365b-a5ff-68d16343e6fb,-43.256626,-22.998617000000007,road_closed,road_closed_event,obras via,2019-02-14 13:06:00,2019-02-17 23:44:00,4949,-4 days +13:22:00.000000000,road_closed_road_closed_event,678684.7367133712,7455570.977898311,1550149560000.0,1550447040000.0,30
9232820d-d2a0-382a-8da8-179445d0d7e8,-43.18683400000001,-22.974709,road_closed,road_closed_event,reveillon,2019-01-01 07:33:00,2019-01-01 08:33:00,61,-1 days +23:00:00.000000000,road_closed_road_closed_event,685872.3405552198,7458131.719267562,1546327980000.0,1546331580000.0,8
923913be-36ad-357c-8322-4ac867c1906d,-43.176437,-22.910857,road_closed,road_closed_event,banda bloco confraria boemios lapa,2019-03-10 21:02:00,2019-03-10 21:02:00,1,0 days 00:00:00.000000000,road_closed_road_closed_event,687026.17060451,7465189.365506174,1552251720000.0,1552251720000.0,77
925da25e-0dc5-393d-950c-b11958dcc7a2,-43.196361,-22.916220000000006,road_closed,road_closed_event,carnaval rio,2019-03-02 12:18:00,2019-03-02 12:21:00,4,-1 days +23:57:00.000000000,road_closed_road_closed_event,684974.9907072135,7464620.6776441615,1551529080000.0,1551529260000.0,22
9262cafb-bcb9-391f-9143-bf331ad53572,-43.235518,-22.995879,road_closed,road_closed_event,deslizamento encosta,2019-02-08 14:08:00,2019-02-08 14:08:00,1,0 days 00:00:00.000000000,road_closed_road_closed_event,680852.2970485856,7455848.284909332,1549634880000.0,1549634880000.0,54
