event,xcenter,ycenter,total_points,type,start_time,end_time,area,duration
29,682185.8775689226,7464347.283239367,121,ROAD_CLOSED,1550922960000.0,1550970840000.0,1618009.1585344072,13300.0
30,686919.8255031066,7465730.027238481,47,ROAD_CLOSED,1551005700000.0,1551168240000.0,933191.360324624,45150.0
31,684384.9504861553,7466354.574437583,28,ROAD_CLOSED,1550948100000.0,1550963640000.0,81419.14590704808,4316.666666666667
32,669063.8677975823,7463519.5935488185,21,ROAD_CLOSED,1550940900000.0,1550963580000.0,3034.295957415908,6300.0
33,683845.0776532118,7456847.839480167,70,ROAD_CLOSED,1551023700000.0,1551049140000.0,464223.45222915243,7066.666666666667
34,682524.0505913994,7459037.307785928,69,ROAD_CLOSED,1550620620000.0,1551052560000.0,402729.9504012547,119983.33333333333
35,664590.2752138674,7467910.7023620345,31,ROAD_CLOSED,1550951700000.0,1550964360000.0,155520.83593795286,3516.6666666666665
36,685717.6543646598,7464263.101678626,32,ROAD_CLOSED,1550915700000.0,1550937900000.0,115419.10037474832,6166.666666666667
37,671015.7465032825,7454272.107911033,57,ROAD_CLOSED,1551020160000.0,1551045540000.0,87687.21503995267,7050.0
38,685599.1124775095,7466800.758942738,33,ROAD_CLOSED,1551021240000.0,1551056160000.0,298457.11872560915,9700.0
39,674564.9386323518,7468215.317483577,16,ROAD_CLOSED,1550953980000.0,1550970840000.0,17849.802844931415,4683.333333333333
40,674081.3750966655,7473652.08236847,18,ROAD_CLOSED,1551027300000.0,1551049140000.0,32889.205163788996,6066.666666666667
41,687028.8277911084,7459467.808651265,11,ROAD_CLOSED,1551033480000.0,1551049140000.0,37657.99113083251,4350.0
42,674666.3367060936,7469791.64590268,31,ROAD_CLOSED,1550948100000.0,1550970840000.0,48033.02617586153,6316.666666666667
43,685558.5861185835,7464412.786988742,18,ROAD_CLOSED,1550861700000.0,1550883540000.0,42528.38422985784,6066.666666666667
44,677913.4814734729,7463973.081325477,29,ROAD_CLOSED,1551030900000.0,1551052560000.0,8193.043442392618,6016.666666666667
45,687371.2945184952,7465065.712290418,29,ROAD_CLOSED,1550915700000.0,1550920740000.0,474369.9499106002,1400.0
46,670549.2567550692,7460523.1858143,17,ROAD_CLOSED,1551029400000.0,1551041820000.0,82636.75655875966,3450.0
47,674398.2332365304,7466669.582970966,12,ROAD_CLOSED,1550955300000.0,1550970840000.0,31360.772432397047,4316.666666666667
48,685442.1049620741,7461768.576956081,14,ROAD_CLOSED,1551005700000.0,1551029220000.0,8248.024589358203,6533.333333333333
49,684421.9126181203,7464965.5990319755,22,ROAD_CLOSED,1551034500000.0,1551049140000.0,12574.42561024072,4066.6666666666665
50,667647.4149928096,7468848.117551326,22,ROAD_CLOSED,1551009300000.0,1551030960000.0,50308.1573771955,6016.666666666667
51,684895.2957426461,7466006.913591842,12,ROAD_CLOSED,1550861700000.0,1550879880000.0,14844.657342169672,5050.0
52,682136.0637188208,7456939.008619604,12,ROAD_CLOSED,1550919300000.0,1550920320000.0,245865.9463665487,283.3333333333333
53,687518.436873257,7460477.733185126,13,ROAD_CLOSED,1551034560000.0,1551052560000.0,14205.139758382014,5000.0
54,658518.7931310876,7469914.734450237,55,ROAD_CLOSED,1551200100000.0,1551211380000.0,92927.64221898388,3133.3333333333335
55,686953.5870477076,7466081.883538814,51,ROAD_CLOSED,1551177480000.0,1551343980000.0,56718.87004478153,46250.0
56,673251.0117019062,7468349.326350092,11,ROAD_CLOSED,1551304500000.0,1551317040000.0,65129.27923002088,3483.3333333333335
