event,xcenter,ycenter,total_points,type,start_time,end_time,area,duration
118,678635.029269428,7473543.637535211,34,road_closed,1544583180000.0,1554076560000.0,19507.40642043839,2637050.0
119,685442.1049620776,7461768.57695608,14,road_closed,1551005700000.0,1551029220000.0,8248.02458911354,6533.333333333333
120,684421.9126181194,7464965.5990319755,22,road_closed,1551034500000.0,1551049140000.0,12574.42560896706,4066.6666666666665
121,686397.1719308444,7464412.452593786,6,road_closed,1551805020000.0,1551824760000.0,4942.835509803557,5483.333333333333
122,686747.0942946803,7460859.960803189,14,weatherhazard,1548055740000.0,1548481620000.0,6744.408186989881,118300.0
123,673699.7201447181,7472791.894716141,12,road_closed,1551642900000.0,1551661440000.0,117.17961908169309,5150.0
124,674985.5555722424,7468700.238754681,7,road_closed,1551538500000.0,1551560220000.0,824.491797263443,6033.333333333333
125,675370.542220031,7466316.313635533,10,road_closed,1551030300000.0,1551049140000.0,16713.943687438692,5233.333333333333
126,686616.0507195323,7465054.633890131,6,road_closed,1551966900000.0,1551985140000.0,8629.510614129289,5066.666666666667
127,685863.5378317072,7464816.898167596,14,road_closed,1551617700000.0,1551635820000.0,68241.69728773423,5033.333333333333
128,683512.4921341392,7459552.895782188,11,road_closed,1546394220000.0,1554076560000.0,0.0,2133983.3333333335
129,686809.3222237446,7460826.5329303285,26,weatherhazard,1548667980000.0,1549697880000.0,0.0,286083.3333333333
130,687206.4660591553,7464591.529534706,11,road_closed,1551693300000.0,1551735780000.0,74766.20677657999,11800.0
131,680316.7601068115,7465286.8702918645,8,road_closed,1549547940000.0,1549573260000.0,0.0,7033.333333333333
132,684895.2957426504,7466006.913591848,12,road_closed,1550861700000.0,1550879880000.0,14844.657340877551,5050.0
133,684991.3450292399,7465399.772375384,10,road_closed,1551232500000.0,1551255120000.0,109550.002153863,6283.333333333333
134,687281.9869471017,7464309.759740172,8,road_closed,1551801300000.0,1551824760000.0,10356.04893415446,6516.666666666667
135,679391.898984155,7464608.140407074,6,road_closed,1550951700000.0,1550966160000.0,19504.235483296095,4016.6666666666665
136,681844.1731201753,7458330.60734991,8,road_closed,1550310900000.0,1550333940000.0,8447.133904424209,6400.0
137,679558.2388572686,7469408.594163589,8,road_closed,1551297300000.0,1551316560000.0,15441.199714268612,5350.0
138,685008.5454739252,7460413.8976294035,13,road_closed,1551711060000.0,1551735780000.0,101403.00477111962,6866.666666666667
139,685498.5807291704,7456979.547597531,11,road_closed,1551628560000.0,1551650220000.0,64679.74524692102,6016.666666666667
140,685882.6770092706,7464904.15816719,7,road_closed,1551812100000.0,1551834000000.0,10440.719068440967,6083.333333333333
141,680103.1873427707,7462718.188164765,14,road_closed,1550339700000.0,1550361360000.0,70515.06430854398,6016.666666666667
142,688049.0647079484,7459472.4687387915,6,road_closed,1550933700000.0,1550956320000.0,0.0,6283.333333333333
143,680603.8898219317,7457374.336294132,6,road_closed,1549548540000.0,1549573260000.0,0.0,6866.666666666667
144,681544.399990071,7456817.563357125,12,road_closed,1549584480000.0,1549626960000.0,23114.245579620558,11800.0
145,678773.3829544828,7463944.042174389,6,road_closed,1551560100000.0,1551585360000.0,9119.170517162338,7016.666666666667
146,687283.4561518487,7461936.059630781,15,road_closed,1546291560000.0,1546325820000.0,391759.06779889256,9516.666666666666
147,676642.2788045408,7469185.945140398,7,road_closed,1547723820000.0,1547744280000.0,2391.0913682308665,5683.333333333333
148,678737.0551771284,7463703.765717625,11,road_closed,1551725700000.0,1551735780000.0,75178.39079089291,2800.0
149,685415.0733215815,7459166.472308869,10,road_closed,1551545700000.0,1551574620000.0,56586.80476096581,8033.333333333333
150,687518.4368732586,7460477.733185121,13,road_closed,1551034560000.0,1551052560000.0,14205.139741396088,5000.0
151,686809.3222237446,7460826.532930327,6,weatherhazard,1549813740000.0,1549946580000.0,0.0,36900.0
152,687978.7214068444,7459449.018111938,7,weatherhazard,1550458680000.0,1550522520000.0,0.0,17733.333333333332
153,684605.0373225315,7457841.8645516345,7,weatherhazard,1550458680000.0,1550522520000.0,0.0,17733.333333333332
154,682087.1754320964,7465260.220821503,6,road_closed,1552524480000.0,1552534440000.0,738.9324472311746,2766.6666666666665
155,684971.5719849655,7465379.5536935795,9,road_closed,1551405300000.0,1551427140000.0,109550.002153863,6066.666666666667
156,673261.0103630669,7454711.908868308,8,road_closed,1549558980000.0,1549605900000.0,0.0,13033.333333333334
157,671595.000096948,7454211.130117663,6,road_closed,1551524100000.0,1551570960000.0,1291.2403929923075,13016.666666666666
158,677323.0891883328,7455580.289890973,7,road_closed,1549582500000.0,1549627680000.0,212.6051514282052,12550.0
159,686809.323597475,7460826.643668578,12,weatherhazard,1546086900000.0,1547611020000.0,0.0,423366.6666666667
160,686409.2710634567,7465659.484894723,9,road_closed,1551628560000.0,1551650220000.0,6728.69469219527,6016.666666666667
161,671595.000096948,7454211.130117665,6,road_closed,1550940960000.0,1550963580000.0,1291.2403929923075,6283.333333333333
162,678500.9144740553,7455552.451832561,7,road_closed,1549712700000.0,1549727880000.0,1040.1622376311661,4216.666666666667
163,683636.495263904,7466027.683889658,8,road_closed,1544583180000.0,1547949420000.0,71311.05047930471,935066.6666666666
164,677290.7343819807,7455573.296090997,6,road_closed,1549531320000.0,1549547820000.0,1055.4693753578526,4583.333333333333
165,680008.706332867,7455381.958709934,8,road_closed,1550069760000.0,1550479320000.0,0.0,113766.66666666667
166,680603.8898219317,7457374.336294132,6,road_closed,1549973880000.0,1550174460000.0,0.0,55716.666666666664
